date,masi_close,atw_close,iam_close,lhm_close,mng_close,brent_close,gold_close,eur_mad,gpr_index,masi_log_return,masi_realized_vol_5,masi_rolling_mean_5,masi_realized_vol_20,masi_rolling_mean_20,masi_lag_1,masi_lag_2,masi_lag_5,atw_log_return,atw_realized_vol_5,atw_rolling_mean_5,atw_realized_vol_20,atw_rolling_mean_20,atw_lag_1,atw_lag_2,atw_lag_5,iam_log_return,iam_realized_vol_5,iam_rolling_mean_5,iam_realized_vol_20,iam_rolling_mean_20,iam_lag_1,iam_lag_2,iam_lag_5,lhm_log_return,lhm_realized_vol_5,lhm_rolling_mean_5,lhm_realized_vol_20,lhm_rolling_mean_20,lhm_lag_1,lhm_lag_2,lhm_lag_5,mng_log_return,mng_realized_vol_5,mng_rolling_mean_5,mng_realized_vol_20,mng_rolling_mean_20,mng_lag_1,mng_lag_2,mng_lag_5,brent_log_return,brent_realized_vol_5,brent_rolling_mean_5,brent_realized_vol_20,brent_rolling_mean_20,brent_lag_1,brent_lag_2,brent_lag_5,gold_log_return,gold_realized_vol_5,gold_rolling_mean_5,gold_realized_vol_20,gold_rolling_mean_20,gold_lag_1,gold_lag_2,gold_lag_5,eur_mad_log_return,eur_mad_realized_vol_5,eur_mad_rolling_mean_5,eur_mad_realized_vol_20,eur_mad_rolling_mean_20,eur_mad_lag_1,eur_mad_lag_2,eur_mad_lag_5,eur_mad_return,gpr_delta,gpr_index_log_return,gpr_index_realized_vol_5,gpr_index_realized_vol_20,gpr_index_rolling_mean_5,gpr_index_rolling_mean_20,gpr_index_lag_1,gpr_index_lag_2,gpr_index_lag_5,bam_policy_rate
1/31/2007,10455.33,263,133,1084.11,450,57.4,657.9,11.1296,96.60357666,0.00091287,0.005448348,10305.942,0.008371859,10020.391,10445.79,10345.93,9995.75,0.011472401,0.007252767,255.2,0.012242115,245.37,260,256.9,244,-0.00375235,0.004293265,133.2,0.006014629,132.505,133.5,133.5,132,0.027891819,0.009434374,1041.622,0.011504735,993.519,1054.29,1040.19,993.96,0.00445435,0.008505407,448.2,0.020047884,443.5,448,448,450,0.017752466,0.033165118,55.376,0.027056496,54.4795,56.39,53.68,55.43,0.011772936,0.007822365,648.82,0.0120306,632.525,650.2,643.2,648.2,0.001753621,0.000715464,11.11044,0.001304769,11.108705,11.1101,11.1059,11.0923,0.001753621,-13.150177,-0.127623487,0.373977976,0.332660317,91.37076874,104.4619675,109.7537537,60.22850037,110.3195419,3.25
2/1/2007,10207.24,251.2,131.85,1041.34,435,56.72,663,11.1276,77.84802246,-0.024014624,0.015909631,10334.376,0.010233204,10049.484,10455.33,10445.79,10065.07,-0.045904598,0.028670828,256.24,0.01685263,246.425,263,260,246,-0.008684215,0.004703529,132.97,0.005480071,132.5475,133,133.5,133,-0.040251029,0.027936623,1049.666,0.015168136,998.2575,1084.11,1054.29,1001.12,-0.033901552,0.017396305,446.2,0.017704237,443.35,450,448,445,-0.011917421,0.030713464,55.896,0.025552201,54.4175,57.4,56.39,54.12,0.007722046,0.007828785,651.8,0.011601891,634.185,657.9,650.2,648.1,-0.000179717,0.000770579,11.11526,0.00124227,11.10828,11.1296,11.1101,11.1035,-0.000179717,-18.7555542,-0.21585727,0.382348576,0.323542239,84.80124207,104.5195328,96.60357666,109.7537537,110.6956558,3.25
2/2/2007,10264.88,253.7,130.5,1041.57,440,58.41,651.5,11.1179,139.1337585,0.005631088,0.014603628,10343.834,0.009792047,10073.714,10207.24,10455.33,10217.59,0.009903032,0.028105068,256.96,0.01545043,247.21,251.2,263,250.1,-0.010291686,0.005862544,132.47,0.005959709,132.5125,131.85,133,133,0.000220845,0.025869808,1052.3,0.01516456,1003.0075,1041.34,1084.11,1028.4,0.011428696,0.017454275,444.2,0.016752905,442.85,435,450,450,0.029360226,0.031683966,56.52,0.023596739,54.5825,56.72,57.4,55.29,-0.017497594,0.012298083,653.16,0.012320922,635.45,663,657.9,644.7,-0.000872087,0.000964324,11.11822,0.001245837,11.107795,11.1276,11.1296,11.1031,-0.000872087,61.28573608,0.580677266,0.440258434,0.348125106,96.71352234,107.2058754,77.84802246,96.60357666,79.57235718,3.25
2/5/2007,10311.81,257.9,129.5,1086.42,440,58.1,656.1,11.1045,77.98645782,0.00456148,0.013417722,10337.01,0.009315037,10092.64,10264.88,10207.24,10345.93,0.016419446,0.026207686,257.16,0.015584912,248.05,253.7,251.2,256.9,-0.007692346,0.004168458,131.67,0.005983363,132.3875,130.5,131.85,133.5,0.042158697,0.031538099,1061.546,0.017319858,1009.711,1041.57,1041.34,1040.19,0,0.017570132,442.6,0.016168339,441.95,440,435,448,-0.005321444,0.02510504,57.404,0.023610374,54.7055,58.41,56.72,53.68,0.00703582,0.012167598,655.74,0.009537689,637.91,651.5,663,643.2,-0.00120599,0.00116857,11.11794,0.00127163,11.10657,11.1179,11.1276,11.1059,-0.00120599,-61.14730072,-0.578900568,0.520084933,0.373311457,100.2651138,106.6949753,139.1337585,77.84802246,60.22850037,3.25
2/6/2007,10419.39,259,130.1,1090.81,440,58.42,658.7,11.1217,88.69902802,0.010378653,0.013569151,10331.73,0.009374028,10112.4365,10311.81,10264.88,10445.79,0.004256149,0.02560108,256.96,0.015456158,248.8,257.9,253.7,260,0.004622504,0.005975909,130.99,0.005797455,132.2425,129.5,130.5,133.5,0.004032652,0.031463648,1068.85,0.016538587,1015.2585,1086.42,1041.57,1054.29,0,0.017570132,441,0.015101725,441.65,440,440,448,0.005492633,0.016789337,57.81,0.02361132,54.8465,58.1,58.41,56.39,0.003954979,0.011573718,657.44,0.00953757,640.375,656.1,651.5,650.2,0.001547723,0.001369314,11.12026,0.001292411,11.10691,11.1045,11.1179,11.1101,0.001547723,10.71257019,0.128713737,0.430896833,0.371918077,96.0541687,105.8068886,77.98645782,139.1337585,109.7537537,3.25
2/7/2007,10362.26,256,130.5,1109.53,444,57.23,657.3,11.118,126.0729904,-0.005498134,0.013703778,10313.116,0.00938595,10131.979,10419.39,10311.81,10455.33,-0.011650617,0.024915882,255.56,0.015301996,249.575,259,257.9,263,0.003069841,0.007058348,130.49,0.005825145,132.1025,130.1,129.5,133,0.017015963,0.029982992,1073.934,0.01616848,1022.3545,1090.81,1086.42,1084.11,0.009049836,0.018205729,439.8,0.015117207,441.75,440,440,450,-0.020580061,0.019263398,57.776,0.024076954,54.949,58.42,58.1,57.4,-0.00212766,0.010431932,657.32,0.00954366,642.49,658.7,656.1,657.9,-0.000332738,0.001064885,11.11794,0.001278108,11.106565,11.1217,11.1045,11.1296,-0.000332738,37.3739624,0.351612097,0.459599636,0.380575682,101.9480515,106.8091442,88.69902802,77.98645782,96.60357666,3.25
2/8/2007,10389.46,260,130.3,1107.22,460,59.03,662.8,11.126,76.15097809,0.002621471,0.005803335,10349.56,0.009310086,10154.4515,10362.26,10419.39,10207.24,0.015504187,0.011454088,257.32,0.015499274,250.44,256,259,251.2,-0.001533743,0.006524314,130.18,0.005633391,131.9175,130.5,130.1,131.85,-0.002084133,0.018268385,1087.11,0.016277761,1028.8845,1109.53,1090.81,1041.34,0.035401927,0.014502465,444.8,0.016520177,443,444,440,435,0.030967553,0.022272932,58.238,0.023886748,55.216,57.23,58.42,56.72,0.00833275,0.01055052,657.28,0.009499192,644.96,657.3,658.7,663,0.000719295,0.001143936,11.11762,0.00118353,11.107825,11.118,11.1217,11.1276,0.000719295,-49.92201233,-0.504143105,0.516375193,0.387127557,101.6086426,102.9547501,126.0729904,88.69902802,77.84802246,3.25
2/9/2007,10476.42,263,130.3,1109.53,487,59.01,672.3,11.1166,95.58355713,0.008335187,0.006161968,10391.868,0.008707413,10187.534,10389.46,10362.26,10264.88,0.011472401,0.011578246,259.18,0.015591301,251.44,260,256,253.7,0,0.004791804,130.14,0.004750739,131.8275,130.3,130.5,130.5,0.002084133,0.017977871,1100.702,0.016304736,1035.241,1107.22,1109.53,1041.57,0.057037634,0.025141938,454.2,0.018445161,446.3,460,444,440,-0.000338868,0.018843042,58.358,0.023520321,55.519,59.03,57.23,58.41,0.014231384,0.006002164,661.44,0.00888113,647.23,662.8,657.3,651.5,-0.000845225,0.001139038,11.11736,0.001202808,11.108595,11.126,11.118,11.1179,-0.000845225,19.43257904,0.227282885,0.433863936,0.391210834,92.89860229,99.70080566,76.15097809,126.0729904,139.1337585,3.25
2/12/2007,10536.06,264.5,133,1110.69,494,56.6,667.3,11.1111,101.9251633,0.005676642,0.006203804,10436.718,0.008721959,10221.526,10476.42,10389.46,10311.81,0.005687219,0.010374055,260.5,0.015567223,252.515,263,260,257.9,0.020509644,0.008825393,130.84,0.006644737,131.8975,130.3,130.3,129.5,0.001044942,0.007381723,1105.556,0.016285875,1041.6555,1109.53,1107.22,1086.42,0.014271394,0.022978513,465,0.018235803,449.5,487,460,440,-0.041697936,0.027453122,58.058,0.025777489,55.693,59.01,59.03,58.1,-0.00746495,0.00852291,663.68,0.00918737,649.25,672.3,662.8,656.1,-0.000494878,0.00098897,11.11868,0.001209123,11.10913,11.1166,11.126,11.1045,-0.000494878,6.34160614,0.064238042,0.330079365,0.382888584,97.68634338,99.26903038,95.58355713,76.15097809,77.98645782,3.25
2/13/2007,10627.44,264.9,132.6,1131.49,494,57.03,668.5,11.1256,95.68173981,0.008635676,0.005813752,10478.328,0.008370598,10252.554,10536.06,10476.42,10419.39,0.001511145,0.010498709,261.68,0.015460621,253.46,264.5,263,259,-0.00301205,0.00960518,131.34,0.006662269,131.9275,133,130.3,130.1,0.018553904,0.009688145,1113.692,0.01645076,1049.0985,1110.69,1109.53,1090.81,0,0.022978513,475.8,0.018235803,452.7,494,487,440,0.00756846,0.027670675,57.78,0.025376977,55.9315,56.6,59.01,58.42,0.001796677,0.00854148,665.64,0.009126769,651.38,667.3,672.3,658.7,0.001304151,0.000903276,11.11946,0.00123789,11.11055,11.1111,11.1166,11.1217,0.001304151,-6.243423462,-0.063211377,0.330311434,0.376833295,99.08288574,99.96133118,101.9251633,95.58355713,88.69902802,3.25
2/14/2007,10639.47,263.5,131.5,1153.45,484,57.43,672,11.135,122.0766983,0.001131335,0.003355266,10533.77,0.008378383,10283.1795,10627.44,10536.06,10362.26,-0.005299028,0.008184432,263.18,0.015265601,254.46,264.9,264.5,256,-0.008330226,0.011065809,131.54,0.006811955,131.8675,132.6,133,130.5,0.019222103,0.010272567,1122.476,0.016650498,1057.073,1131.49,1110.69,1109.53,-0.02045061,0.030167527,483.8,0.018801507,454.9,494,494,444,0.00698937,0.026464697,57.82,0.025351899,56.164,57.03,56.6,57.23,0.005221944,0.008067679,668.58,0.00892264,653.315,668.5,667.3,657.3,0.000844542,0.000925185,11.12286,0.001212546,11.11165,11.1256,11.1111,11.118,0.000844542,26.3949585,0.243622048,0.305403082,0.366805348,98.28362732,99.6505619,95.68173981,101.9251633,126.0729904,3.25
2/15/2007,10710.87,263,131.3,1155.76,479,57.6,671.4,11.1493,111.8166275,0.006688443,0.003026493,10598.052,0.008234314,10319.543,10639.47,10627.44,10389.46,-0.001899336,0.006549962,263.78,0.015284859,255.335,263.5,264.9,260,-0.00152207,0.011065003,131.74,0.006799734,131.7875,131.5,132.6,130.3,0.002000685,0.009420641,1132.184,0.016609401,1065.163,1153.45,1131.49,1107.22,-0.010384309,0.030229931,487.6,0.019081338,456.85,484,494,460,0.002955753,0.020817207,57.534,0.024724748,56.4565,57.43,57.03,59.03,-0.000893256,0.008004885,670.3,0.008581403,655.48,672,668.5,662.8,0.001283415,0.001017991,11.12752,0.00108309,11.11481,11.135,11.1256,11.126,0.001283415,-10.2600708,-0.087789247,0.155985015,0.367301606,105.4167572,98.85014992,122.0766983,95.68173981,76.15097809,3.25
